直播河南,#genre#
北京卫视,http://123.144.186.47:8004/udp/225.0.4.78:7980
天津卫视,http://123.144.186.47:8004/udp/225.0.4.82:7980
辽宁卫视,http://123.144.186.47:8004/udp/225.0.4.98:7980
东方卫视,http://123.144.186.47:8004/udp/225.0.4.80:7980
纪实HD,http://123.144.186.47:8004/udp/225.0.4.99:7980
河北卫视,http://123.144.186.47:8004/udp/225.0.4.174:7980
贵州卫视,http://123.144.186.47:8004/udp/225.0.4.175:7980
山东卫视,http://123.144.186.47:8004/udp/225.0.4.199:7980
东南卫视,http://123.144.186.47:8004/udp/225.0.4.200:7980
黑龙江卫视,http://123.144.186.47:8004/udp/225.0.4.201:7980
深圳卫视,http://123.144.186.47:8004/udp/225.0.4.202:7980
江西卫视,http://123.144.186.47:8004/udp/225.0.4.203:7980
四川卫视,http://123.144.186.47:8004/udp/225.0.4.204:7980
重庆卫视,http://123.144.186.47:8004/udp/225.0.4.187:7980
CQTV新闻,http://123.144.186.47:8004/udp/225.0.4.59:7980
CQTV汽摩,http://123.144.186.47:8004/udp/225.0.4.61:7980
CQTV影视,http://123.144.186.47:8004/udp/225.0.4.62:7980
CQTV科教,http://123.144.186.47:8004/udp/225.0.4.63:7980
CQTV社会与法,http://123.144.186.47:8004/udp/225.0.4.64:7980
CQTV娱乐,http://123.144.186.47:8004/udp/225.0.4.65:7980
CQTV移动,http://123.144.186.47:8004/udp/225.0.4.68:7980
CQTV时尚生活,http://123.144.186.47:8004/udp/225.0.4.69:7980
CQTV新农村,http://123.144.186.47:8004/udp/225.0.4.70:7980
CQTV少儿,http://123.144.186.47:8004/udp/225.0.4.71:7980
爱生活,http://123.144.186.47:8004/udp/225.0.4.164:7980
IPTV相声小品,http://123.144.186.47:8004/udp/225.0.4.56:7980
IPTV野外,http://123.144.186.47:8004/udp/225.0.4.57:7980
IPTV3+,http://123.144.186.47:8004/udp/225.0.4.51:7980
IPTV5+,http://123.144.186.47:8004/udp/225.0.4.53:7980
IPTV6+,http://123.144.186.47:8004/udp/225.0.4.50:7980
IPTV8+,http://123.144.186.47:8004/udp/225.0.4.54:7980
经典电影,http://123.144.186.47:8004/udp/225.0.4.48:7980
解密,http://123.144.186.47:8004/udp/225.0.4.153:7980
全纪实,http://123.144.186.47:8004/udp/225.0.4.113:7980
纪实HD,http://123.144.186.47:8004/udp/225.0.4.99:7980
地理,http://123.144.186.47:8004/udp/225.0.4.149:7980
古装剧场,http://123.144.186.47:8004/udp/225.0.4.147:7980
武侠剧场,http://123.144.186.47:8004/udp/225.0.4.168:7980
军旅剧场,http://123.144.186.47:8004/udp/225.0.4.146:7980
喜剧影院,http://123.144.186.47:8004/udp/225.0.4.169:7980
动作影院,http://123.144.186.47:8004/udp/225.0.4.170:7980
家庭影院,http://123.144.186.47:8004/udp/225.0.4.171:7980
星影,http://123.144.186.47:8004/udp/225.0.4.172:7980
重庆新闻HD,http://123.144.186.47:8004/udp/225.0.4.188:7980
重庆社会与法HD,http://123.144.186.47:8004/udp/225.0.4.190:7980
重庆少儿HD,http://123.144.186.47:8004/udp/225.0.4.191:7980
重庆影视HD,http://123.144.186.47:8004/udp/225.0.4.192:7980
重庆科教HD,http://123.144.186.47:8004/udp/225.0.4.193:7980
重庆娱乐HD,http://123.144.186.47:8004/udp/225.0.4.194:7980
重庆汽摩HD,http://123.144.186.47:8004/udp/225.0.4.195:7980
重庆时尚生活HD,http://123.144.186.47:8004/udp/225.0.4.196:7980
重庆新农村HD,http://123.144.186.47:8004/udp/225.0.4.189:7980
CQTV移动HD,http://123.144.186.47:8004/udp/225.0.4.215:7980
时尚购物HD,http://123.144.186.47:8004/udp/225.0.4.198:7980


